geoid,county,county_raw_x,incidence_rate_raw,average_annual_cases_raw,incidence_lower_ci_raw,incidence_upper_ci_raw,incidence_rate,average_annual_cases,incidence_lower_ci,incidence_upper_ci,incidence_suppressed,cancer_site,stage,period,sex,county_raw_y,mortality_rate_raw,average_annual_deaths_raw,mortality_lower_ci_raw,mortality_upper_ci_raw,mortality_rate,average_annual_deaths,mortality_lower_ci,mortality_upper_ci,mortality_suppressed,fips,population_2020,rucc_2023,rucc_description,metro_status,rurality_3_level,rurality_ordinal,uninsured_percent,uninsured_lower_ci,uninsured_upper_ci,high_blood_pressure_percent,high_blood_pressure_lower_ci,high_blood_pressure_upper_ci,annual_checkup_percent,annual_checkup_lower_ci,annual_checkup_upper_ci,smoking_percent,smoking_lower_ci,smoking_upper_ci,depression_percent,depression_lower_ci,depression_upper_ci,diabetes_percent,diabetes_lower_ci,diabetes_upper_ci,food_insecurity_percent,food_insecurity_lower_ci,food_insecurity_upper_ci,transportation_barriers_percent,transportation_barriers_lower_ci,transportation_barriers_upper_ci,physical_inactivity_percent,physical_inactivity_lower_ci,physical_inactivity_upper_ci,mammography_percent,mammography_lower_ci,mammography_upper_ci,frequent_mental_distress_percent,frequent_mental_distress_lower_ci,frequent_mental_distress_upper_ci,obesity_percent,obesity_lower_ci,obesity_upper_ci,incidence_reportable,mortality_reportable,both_rates_reportable,neither_rate_reportable,surveillance_availability,incidence_difference_from_ohio,mortality_difference_from_ohio,incidence_vs_ohio,mortality_vs_ohio,population_group
39035,Cuyahoga,Cuyahoga County(2),10.1,86,9.1,11.1,10.1,86,9.1,11.1,FALSE,Ovary,All stages,2018–2022,Female,Cuyahoga County,5.9,58,5.2,6.7,5.9,58,5.2,6.7,FALSE,39035,1264817,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,7.3,6.5,8.1,32.5,29.8,35.2,78,75.4,80.4,17.7,16.1,19.5,24.2,21.9,26.7,11.1,10,12.4,19.6,17.9,21.4,11.8,10.9,12.9,22.7,20.4,25.2,78.2,73,82.7,18.9,17.4,20.5,37.8,34.3,41.4,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,0.29999999999999893,0.10000000000000053,Above Ohio point estimate,Above Ohio point estimate,"250,000 or more"
39061,Hamilton,Hamilton County(2),11.3,58,10,12.7,11.3,58,10,12.7,FALSE,Ovary,All stages,2018–2022,Female,Hamilton County,5.2,29,4.3,6.1,5.2,29,4.3,6.1,FALSE,39061,830639,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,7.8,6.9,8.8,34,31.2,36.8,77.7,74.8,80.4,18.4,16.5,20.4,26.6,23.8,29.5,12.9,11.5,14.4,15.3,13.7,17,9.9,9,10.9,26.5,23.6,29.5,78.6,73,83.4,20.1,18.4,21.9,38.6,34.5,42.8,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,1.5,-0.5999999999999996,Above Ohio point estimate,Below Ohio point estimate,"250,000 or more"
39167,Washington,Washington County(2),11.7,5,7.4,17.9,11.7,5,7.4,17.9,FALSE,Ovary,All stages,2018–2022,Female,Washington County,6,3,3.4,10.3,6,3,3.4,10.3,FALSE,39167,59771,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,6.5,5.7,7.3,33.6,30.4,37.1,76.1,72.7,79.4,21.2,19,23.6,29.1,25.8,32.7,12,10.5,13.6,13.1,11.7,14.7,8.7,7.9,9.6,27.7,24.4,31.3,73.3,66.3,79.5,21,19.2,23,44.7,39.6,49.9,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,1.8999999999999986,0.20000000000000018,Above Ohio point estimate,Above Ohio point estimate,"50,000–99,999"
39067,Harrison,Harrison County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Harrison County,*,3 or fewer,*,*,,3,,,TRUE,39067,14483,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,9.4,8.3,10.5,34.4,30.6,38.6,75.5,71.4,79.3,21.4,18.9,24,27.7,23.8,31.8,11.6,10.1,13.2,15.1,13.4,17,9.6,8.7,10.6,28,23.8,32.6,73.6,65.9,80.8,22,19.9,24.2,41.4,33.9,49.1,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39043,Erie,Erie County(2),7.5,4,4.2,12.4,7.5,4,4.2,12.4,FALSE,Ovary,All stages,2018–2022,Female,Erie County,6.3,4,3.8,10.1,6.3,4,3.8,10.1,FALSE,39043,75622,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1,7.6,6.8,8.6,31.4,28.1,35.1,78.3,74.9,81.5,15.6,13.8,17.4,25.9,22.7,29.5,10.5,9.3,11.9,11.4,10.1,12.8,7.9,7.2,8.8,24.2,21,27.6,79.7,73.7,85,17.7,16.1,19.4,36.7,31.4,42.3,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,-2.3000000000000007,0.5,Below Ohio point estimate,Above Ohio point estimate,"50,000–99,999"
39077,Huron,Huron County(2),10,4,5.9,16.1,10,4,5.9,16.1,FALSE,Ovary,All stages,2018–2022,Female,Huron County,*,3 or fewer,*,*,,3,,,TRUE,39077,58565,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,10,8.9,11.2,33,29.5,36.8,77.1,73.1,80.4,18.5,16.3,20.6,25.5,21.9,29,11.7,10.1,13.2,13.5,11.9,15.1,9.1,8.1,10,23.4,19.9,26.9,73.5,65.8,79.9,19.1,17.3,20.9,41.9,35.2,48.3,TRUE,FALSE,FALSE,FALSE,Incidence only reportable,0.1999999999999993,,Above Ohio point estimate,Suppressed or unavailable,"50,000–99,999"
39065,Hardin,Hardin County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Hardin County,*,3 or fewer,*,*,,3,,,TRUE,39065,30696,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,8.4,7.5,9.5,33.6,29.9,37.7,74,70,77.8,26.4,23.7,29.4,29.6,25.8,33.8,12.9,11.3,14.6,12.5,11.1,14.1,8.1,7.3,9,31.6,27.3,36.3,72.1,63.9,79.3,23.5,21.5,25.7,45.3,38.4,52.5,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39171,Williams,Williams County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Williams County,*,3 or fewer,*,*,,3,,,TRUE,39171,37102,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3,9.6,8.5,10.7,33.3,29.2,37.5,75.3,71.3,79,20,17.7,22.3,27.2,23.4,31.1,11.5,10,13,14.8,13.1,16.6,9.7,8.7,10.7,26.4,22.5,30.6,75.6,67.9,82,20.6,18.7,22.6,41.5,34.3,48.7,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39161,Van Wert,Van Wert County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Van Wert County,*,3 or fewer,*,*,,3,,,TRUE,39161,28931,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,8.1,7.1,9.1,33.1,29.2,37.4,76,71.9,79.5,18.9,16.6,21.1,27.6,23.7,31.4,10.9,9.5,12.4,12.1,10.7,13.7,8,7.2,8.9,24.7,21,28.5,75.2,67.5,81.9,20.4,18.5,22.3,42.3,35.5,49,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39123,Ottawa,Ottawa County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Ottawa County,*,3 or fewer,*,*,,3,,,TRUE,39123,40364,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1,6.8,6,7.6,29.5,25.9,33.1,75,71.1,78.7,17.4,15.5,19.6,25.8,22.3,29.7,10.3,9,11.8,10.9,9.7,12.2,7.7,7,8.6,23.4,19.8,27.3,75.7,68.3,82.3,19.2,17.5,21.1,41.2,34.4,48.4,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
