geoid,county,county_raw.x,incidence_rate_raw,average_annual_cases_raw,incidence_lower_ci_raw,incidence_upper_ci_raw,incidence_rate,average_annual_cases,incidence_lower_ci,incidence_upper_ci,incidence_suppressed,cancer_site,stage,period,sex,county_raw.y,mortality_rate_raw,average_annual_deaths_raw,mortality_lower_ci_raw,mortality_upper_ci_raw,mortality_rate,average_annual_deaths,mortality_lower_ci,mortality_upper_ci,mortality_suppressed
39035,Cuyahoga,Cuyahoga County(2),10.1,86,9.1,11.1,10.1,86,9.1,11.1,FALSE,Ovary,All stages,2018–2022,Female,Cuyahoga County,5.9,58,5.2,6.7,5.9,58,5.2,6.7,FALSE
39061,Hamilton,Hamilton County(2),11.3,58,10,12.7,11.3,58,10,12.7,FALSE,Ovary,All stages,2018–2022,Female,Hamilton County,5.2,29,4.3,6.1,5.2,29,4.3,6.1,FALSE
39167,Washington,Washington County(2),11.7,5,7.4,17.9,11.7,5,7.4,17.9,FALSE,Ovary,All stages,2018–2022,Female,Washington County,6,3,3.4,10.3,6,3,3.4,10.3,FALSE
39067,Harrison,Harrison County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Harrison County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39043,Erie,Erie County(2),7.5,4,4.2,12.4,7.5,4,4.2,12.4,FALSE,Ovary,All stages,2018–2022,Female,Erie County,6.3,4,3.8,10.1,6.3,4,3.8,10.1,FALSE
39077,Huron,Huron County(2),10,4,5.9,16.1,10,4,5.9,16.1,FALSE,Ovary,All stages,2018–2022,Female,Huron County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39065,Hardin,Hardin County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Hardin County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39171,Williams,Williams County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Williams County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39161,Van Wert,Van Wert County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Van Wert County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39123,Ottawa,Ottawa County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Ottawa County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39003,Allen,Allen County(2),11,7,7.4,15.8,11,7,7.4,15.8,FALSE,Ovary,All stages,2018–2022,Female,Allen County,5.8,4,3.5,9.1,5.8,4,3.5,9.1,FALSE
39021,Champaign,Champaign County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Champaign County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39095,Lucas,Lucas County(2),8.5,23,6.9,10.3,8.5,23,6.9,10.3,FALSE,Ovary,All stages,2018–2022,Female,Lucas County,7.1,20,5.8,8.7,7.1,20,5.8,8.7,FALSE
39073,Hocking,Hocking County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Hocking County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39059,Guernsey,Guernsey County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Guernsey County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39147,Seneca,Seneca County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Seneca County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39049,Franklin,Franklin County(2),8.5,60,7.5,9.5,8.5,60,7.5,9.5,FALSE,Ovary,All stages,2018–2022,Female,Franklin County,5.4,40,4.7,6.2,5.4,40,4.7,6.2,FALSE
39153,Summit,Summit County(2),9,32,7.6,10.6,9,32,7.6,10.6,FALSE,Ovary,All stages,2018–2022,Female,Summit County,4.9,21,4,6,4.9,21,4,6,FALSE
39173,Wood,Wood County(2),9.8,7,6.8,13.7,9.8,7,6.8,13.7,FALSE,Ovary,All stages,2018–2022,Female,Wood County,6.3,6,4.2,9.3,6.3,6,4.2,9.3,FALSE
39013,Belmont,Belmont County(2),12.1,5,7.6,18.6,12.1,5,7.6,18.6,FALSE,Ovary,All stages,2018–2022,Female,Belmont County,7.6,4,4.4,12.7,7.6,4,4.4,12.7,FALSE
39089,Licking,Licking County(2),10.4,11,7.7,13.7,10.4,11,7.7,13.7,FALSE,Ovary,All stages,2018–2022,Female,Licking County,6.7,9,4.8,9.2,6.7,9,4.8,9.2,FALSE
39165,Warren,Warren County(2),11.1,16,8.7,13.9,11.1,16,8.7,13.9,FALSE,Ovary,All stages,2018–2022,Female,Warren County,6,9,4.3,8.1,6,9,4.3,8.1,FALSE
39119,Muskingum,Muskingum County(2),11.9,7,8.2,16.8,11.9,7,8.2,16.8,FALSE,Ovary,All stages,2018–2022,Female,Muskingum County,7.2,5,4.5,11.1,7.2,5,4.5,11.1,FALSE
39139,Richland,Richland County(2),9.1,8,6.2,12.9,9.1,8,6.2,12.9,FALSE,Ovary,All stages,2018–2022,Female,Richland County,4.6,5,2.8,7.2,4.6,5,2.8,7.2,FALSE
39163,Vinton,Vinton County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Vinton County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39027,Clinton,Clinton County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Clinton County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39115,Morgan,Morgan County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Morgan County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39131,Pike,Pike County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Pike County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39099,Mahoning,Mahoning County(2),10.9,19,8.6,13.6,10.9,19,8.6,13.6,FALSE,Ovary,All stages,2018–2022,Female,Mahoning County,6.2,12,4.6,8.1,6.2,12,4.6,8.1,FALSE
39001,Adams,Adams County(2),*,3 or fewer,*,*,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female,Adams County,*,3 or fewer,*,*,NA,3,NA,NA,TRUE
39081,Jefferson,Jefferson County(2),9.7,5,5.8,15.4,9.7,5,5.8,15.4,FALSE,Ovary,All stages,2018–2022,Female,Jefferson County,6.7,4,4,11.1,6.7,4,4,11.1,FALSE
