county_raw,incidence_rate_raw,average_annual_cases_raw,incidence_lower_ci_raw,incidence_upper_ci_raw,county,incidence_rate,average_annual_cases,incidence_lower_ci,incidence_upper_ci,incidence_suppressed,cancer_site,stage,period,sex
Adams County(2),*,3 or fewer,*,*,Adams,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female
Allen County(2),11,7,7.4,15.8,Allen,11,7,7.4,15.8,FALSE,Ovary,All stages,2018–2022,Female
Ashland County(2),12.8,4,7.7,20.2,Ashland,12.8,4,7.7,20.2,FALSE,Ovary,All stages,2018–2022,Female
Ashtabula County(2),12,8,8.3,17,Ashtabula,12,8,8.3,17,FALSE,Ovary,All stages,2018–2022,Female
Athens County(2),11.1,4,6.3,18.1,Athens,11.1,4,6.3,18.1,FALSE,Ovary,All stages,2018–2022,Female
Auglaize County(2),*,3 or fewer,*,*,Auglaize,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female
Belmont County(2),12.1,5,7.6,18.6,Belmont,12.1,5,7.6,18.6,FALSE,Ovary,All stages,2018–2022,Female
Brown County(2),*,3 or fewer,*,*,Brown,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female
Butler County(2),10.2,24,8.3,12.3,Butler,10.2,24,8.3,12.3,FALSE,Ovary,All stages,2018–2022,Female
Carroll County(2),*,3 or fewer,*,*,Carroll,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female
Champaign County(2),*,3 or fewer,*,*,Champaign,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female
Clark County(2),7.8,8,5.5,10.8,Clark,7.8,8,5.5,10.8,FALSE,Ovary,All stages,2018–2022,Female
Clermont County(2),12.4,17,9.8,15.6,Clermont,12.4,17,9.8,15.6,FALSE,Ovary,All stages,2018–2022,Female
Clinton County(2),*,3 or fewer,*,*,Clinton,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female
Columbiana County(2),14.2,10,10.3,19.2,Columbiana,14.2,10,10.3,19.2,FALSE,Ovary,All stages,2018–2022,Female
Coshocton County(2),13.6,4,7.9,22.4,Coshocton,13.6,4,7.9,22.4,FALSE,Ovary,All stages,2018–2022,Female
Crawford County(2),*,3 or fewer,*,*,Crawford,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female
Cuyahoga County(2),10.1,86,9.1,11.1,Cuyahoga,10.1,86,9.1,11.1,FALSE,Ovary,All stages,2018–2022,Female
Darke County(2),*,3 or fewer,*,*,Darke,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female
Defiance County(2),13.9,3,7.7,23.2,Defiance,13.9,3,7.7,23.2,FALSE,Ovary,All stages,2018–2022,Female
Delaware County(2),9,11,6.8,11.8,Delaware,9,11,6.8,11.8,FALSE,Ovary,All stages,2018–2022,Female
Erie County(2),7.5,4,4.2,12.4,Erie,7.5,4,4.2,12.4,FALSE,Ovary,All stages,2018–2022,Female
Fairfield County(2),10.1,9,7.4,13.7,Fairfield,10.1,9,7.4,13.7,FALSE,Ovary,All stages,2018–2022,Female
Fayette County(2),*,3 or fewer,*,*,Fayette,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female
Franklin County(2),8.5,60,7.5,9.5,Franklin,8.5,60,7.5,9.5,FALSE,Ovary,All stages,2018–2022,Female
Fulton County(2),12.9,3,7.3,21.4,Fulton,12.9,3,7.3,21.4,FALSE,Ovary,All stages,2018–2022,Female
Gallia County(2),*,3 or fewer,*,*,Gallia,NA,3,NA,NA,TRUE,Ovary,All stages,2018–2022,Female
