year,state_abbr,state,county,fips,category,measure_id,measure,short_question_text,prevalence,lower_ci,upper_ci,total_population,adult_population,relative_ci_width
2022,OH,Ohio,Adams,39001,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,10.2,9,11.4,27420,20825,0.23529411764705888
2021,OH,Ohio,Adams,39001,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,35.3,31.5,39,27420,20825,0.21246458923512748
2022,OH,Ohio,Adams,39001,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,76.5,72.5,80.1,27420,20825,0.0993464052287581
2022,OH,Ohio,Adams,39001,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,24,21.3,26.7,27420,20825,0.22499999999999995
2022,OH,Ohio,Adams,39001,Health Outcomes,DEPRESSION,Depression among adults,Depression,29.7,25.8,33.8,27420,20825,0.26936026936026924
2022,OH,Ohio,Adams,39001,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,13.2,11.5,14.9,27420,20825,0.2575757575757576
2022,OH,Ohio,Adams,39001,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,15.8,14,17.6,27420,20825,0.22784810126582286
2022,OH,Ohio,Adams,39001,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,9.8,8.8,10.8,27420,20825,0.2040816326530612
2022,OH,Ohio,Adams,39001,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,30.3,26,34.7,27420,20825,0.2871287128712872
2022,OH,Ohio,Adams,39001,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,72.4,64.7,79.3,27420,20825,0.2016574585635358
2022,OH,Ohio,Adams,39001,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,23.2,21.1,25.4,27420,20825,0.18534482758620677
2022,OH,Ohio,Adams,39001,Health Outcomes,OBESITY,Obesity among adults,Obesity,45.2,37.9,52.6,27420,20825,0.32522123893805316
2022,OH,Ohio,Allen,39003,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,7.4,6.6,8.3,101115,77523,0.22972972972972985
2021,OH,Ohio,Allen,39003,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,35,31.5,38.6,101115,77523,0.2028571428571429
2022,OH,Ohio,Allen,39003,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,74.1,70.6,77.5,101115,77523,0.09311740890688268
2022,OH,Ohio,Allen,39003,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,22.5,20.2,25,101115,77523,0.21333333333333337
2022,OH,Ohio,Allen,39003,Health Outcomes,DEPRESSION,Depression among adults,Depression,27.7,24.5,31.2,101115,77523,0.2418772563176895
2022,OH,Ohio,Allen,39003,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,12.9,11.4,14.5,101115,77523,0.2403100775193798
2022,OH,Ohio,Allen,39003,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,14.1,12.6,15.8,101115,77523,0.22695035460992916
2022,OH,Ohio,Allen,39003,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,9.7,8.8,10.7,101115,77523,0.19587628865979367
2022,OH,Ohio,Allen,39003,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,30.6,27.1,34.5,101115,77523,0.24183006535947707
2022,OH,Ohio,Allen,39003,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,71.9,65.2,78.2,101115,77523,0.18080667593880387
