fips,county,state_abbr,year_access2,year_bphigh,year_checkup,year_csmoking,year_depression,year_diabetes,year_foodinsecu,year_lacktrpt,year_lpa,year_mammouse,year_mhlth,year_obesity,prevalence_access2,prevalence_bphigh,prevalence_checkup,prevalence_csmoking,prevalence_depression,prevalence_diabetes,prevalence_foodinsecu,prevalence_lacktrpt,prevalence_lpa,prevalence_mammouse,prevalence_mhlth,prevalence_obesity,lower_ci_access2,lower_ci_bphigh,lower_ci_checkup,lower_ci_csmoking,lower_ci_depression,lower_ci_diabetes,lower_ci_foodinsecu,lower_ci_lacktrpt,lower_ci_lpa,lower_ci_mammouse,lower_ci_mhlth,lower_ci_obesity,upper_ci_access2,upper_ci_bphigh,upper_ci_checkup,upper_ci_csmoking,upper_ci_depression,upper_ci_diabetes,upper_ci_foodinsecu,upper_ci_lacktrpt,upper_ci_lpa,upper_ci_mammouse,upper_ci_mhlth,upper_ci_obesity
39001,Adams,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10.2,35.3,76.5,24,29.7,13.2,15.8,9.8,30.3,72.4,23.2,45.2,9,31.5,72.5,21.3,25.8,11.5,14,8.8,26,64.7,21.1,37.9,11.4,39,80.1,26.7,33.8,14.9,17.6,10.8,34.7,79.3,25.4,52.6
39003,Allen,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.4,35,74.1,22.5,27.7,12.9,14.1,9.7,30.6,71.9,21.6,47.1,6.6,31.5,70.6,20.2,24.5,11.4,12.6,8.8,27.1,65.2,19.8,42,8.3,38.6,77.5,25,31.2,14.5,15.8,10.7,34.5,78.2,23.7,52.4
39005,Ashland,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.2,32.3,75.7,21.7,28.5,11.5,12,8.2,29,75,21.4,40.5,6.4,28.5,71.8,19.3,24.7,10.1,10.6,7.4,24.8,67.8,19.5,33.5,8.1,36.1,79.3,24.2,32.5,13,13.5,9,33.3,81.5,23.4,47.7
39007,Ashtabula,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9.4,35.1,75.5,21.9,27.3,12.3,18.1,11.3,27.4,74,21.8,43.1,8.4,31.6,71.9,19.7,24,10.8,16.2,10.2,23.9,67,20,37.4,10.5,39.1,78.8,24.2,30.7,13.8,20.2,12.4,31,80.2,23.7,48.8
39009,Athens,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.6,34.8,77.2,17.7,28.6,11.7,12.9,8.5,23.6,73.7,19.5,38.3,6.7,31.3,74,15.8,25.4,10.4,11.5,7.7,20.7,67,17.8,33.5,8.5,38.1,80.3,19.8,32,13.2,14.4,9.3,26.7,79.6,21.3,43.3
39011,Auglaize,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.2,30.3,76.1,18.5,25.2,10.1,11.9,8,23,72.9,19,42.6,5.4,27,72.4,16.5,21.9,8.8,10.5,7.3,19.6,65.4,17.2,36.6,7,33.9,79.6,20.7,28.9,11.6,13.4,8.9,26.6,79.6,20.9,49
39013,Belmont,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.8,32.6,76,23.2,28.1,12.2,15.6,9.8,31.2,72.9,21.9,43,7.8,29.2,72.6,20.8,24.9,10.7,13.9,8.9,27.6,66.4,20,37.9,9.9,36.2,79.2,25.6,31.5,13.7,17.3,10.8,34.9,78.9,23.9,48.1
39015,Brown,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.3,31.9,76.1,22.6,27.2,11.5,16.2,10.3,30.2,74,21.8,42.6,7.3,28.3,72.2,20.2,23.6,10,14.4,9.3,26.2,66.6,19.9,36.3,9.3,35.7,79.6,25.1,31,13.1,18,11.3,34.3,80.4,23.9,49.1
39017,Butler,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10.3,32.4,75.3,19.1,27.4,11.6,13.5,8.7,24.9,78.5,20.1,36.5,9.2,29,71.9,17.1,24.3,10.2,12,7.9,21.8,72.3,18.4,31.5,11.5,36,78.5,21.3,30.8,13,15,9.5,28.3,84,21.9,41.7
39019,Carroll,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10.5,32,74.3,24.6,29.1,12.3,13.2,8.9,29.4,75.3,22.5,40.7,9.3,28.1,70.1,21.9,25.2,10.7,11.6,8.1,25.1,67.6,20.5,33.7,11.8,35.9,78.2,27.5,33.3,14,14.8,9.9,34,82,24.6,48.1
