fips,state,county,population_2020,rucc_2023,rucc_description,metro_status,rurality_3_level,rurality_ordinal
39001,OH,Adams,27477,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39003,OH,Allen,102206,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1
39005,OH,Ashland,52447,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39007,OH,Ashtabula,97574,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39009,OH,Athens,62431,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39011,OH,Auglaize,46422,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39013,OH,Belmont,66497,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1
39015,OH,Brown,43676,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39017,OH,Butler,390357,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39019,OH,Carroll,26721,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39021,OH,Champaign,38714,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39023,OH,Clark,136001,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1
39025,OH,Clermont,208601,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39027,OH,Clinton,42018,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39029,OH,Columbiana,101877,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39031,OH,Coshocton,36612,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3
39033,OH,Crawford,42025,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39035,OH,Cuyahoga,1264817,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39037,OH,Darke,51881,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39039,OH,Defiance,38286,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39041,OH,Delaware,214124,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39043,OH,Erie,75622,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1
39045,OH,Fairfield,158921,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39047,OH,Fayette,28951,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39049,OH,Franklin,1323807,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39051,OH,Fulton,42713,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39053,OH,Gallia,29220,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39055,OH,Geauga,95397,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39057,OH,Greene,167966,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39059,OH,Guernsey,38438,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39061,OH,Hamilton,830639,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39063,OH,Hancock,74920,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39065,OH,Hardin,30696,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39067,OH,Harrison,14483,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39069,OH,Henry,27662,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39071,OH,Highland,43317,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39073,OH,Hocking,28050,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39075,OH,Holmes,44223,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3
